,R_1M,R_3M,R_6M,R2_3M,AboveEMA50,Vol20_Ann,MaxDD_Pct,rank
ALM,0.34790914846086674,1.9611817431699405,3.360673788300736,0.909775704236567,0.4325001938617352,0.8491368575945137,-57.127884773721775,1
ENLT,0.3234270900169345,0.9577569110196367,1.9243212233029023,0.9674736698228312,0.281788267990277,0.7517824257581615,-20.93032358668211,2
006800.KS,0.2191011235955056,2.042056074766355,1.8490153172866521,0.9413594312080298,0.27471369982766713,1.192962659883101,-25.636363636363633,3
031980.KS,0.5953360768175584,1.7531687591987137,1.969440084289459,0.9407690201122535,0.5171441313865528,1.237980050707053,-65.64039350684949,4
000250.KS,0.4203703703703703,2.23701934667707,2.6706868644177426,0.9279001738763906,0.4571519841721494,1.678704818278527,-58.64486133368726,5
036930.KS,0.1541425818882467,1.0910731750155591,1.017270670038958,0.9303839088848198,0.2784100401130918,1.105695133964602,-45.516808789149245,6
TPL,0.4641791044140635,0.839395375699487,0.8725535161767262,0.8869389240039236,0.3020728342559733,0.540740212550929,-50.82943223517991,7
TEN,0.37806807014340116,0.5807986441996662,0.6919534415505266,0.8706806918309303,0.2768752602434661,0.4270698764713265,-49.99163270524548,8
STRO,0.8130959827716313,1.5721215008221319,1.9883734247199958,0.9196432783756198,0.5007341116438517,0.7948232959483514,-90.3571484694965,9
FET,0.20922203855182442,0.637937040758592,1.3050067965927474,0.955979934466612,0.1929663212464976,0.5331320798245405,-39.24124442151946,10
TDW,0.2156529429031122,0.4165304889604873,0.4709487595356414,0.9068582666783274,0.1956992320107862,0.6275513070086093,-68.86980312727728,11
395270.KS,0.15994531784005472,0.7228426395939087,1.4549728752260398,0.9480799592080612,0.17534750919712327,0.9418408088394499,-39.15905672597931,12
091230.KS,0.12734627831715217,0.7428712925855032,1.3483809964043014,0.9444400363087538,0.177036428495289,0.9898803697455485,-41.32859729455978,13
ATEX,0.3654187927582617,0.7423133140226723,0.9134110343215573,0.8916763302155082,0.27980269999403307,0.5467631967327468,-57.16658233826897,14
INSW,0.2598049151786457,0.5646254725772655,0.6699823100331432,0.9270790197586855,0.2156016323456178,0.38689662940921643,-47.384174662196585,15
LINC,0.38844940059759003,0.651744301508423,0.8638904635741931,0.8052436585024251,0.24043671721562032,0.5435815708756081,-24.557827770230556,16
STNG,0.14969634329731685,0.45610812349491137,0.34237015013474936,0.9319337981777582,0.1538119540559404,0.3357500059564273,-59.361930039883234,17
WDS,0.23089736825896878,0.38542022659199726,0.48294622368619766,0.8511490218850664,0.22021520961135943,0.40305799494323336,-33.93665010912309,18
000720.KS,0.33450087565674247,1.0706521739130435,1.54,0.9050207175656364,0.29319982939237854,1.077616191119765,-32.92231812577066,19
005930.KS,0.12920673076923084,0.7596776343620606,1.4791611390831747,0.9231764878649329,0.12474809436741041,0.907900037045253,-42.847397858590476,20
TRMD,0.17161926080018564,0.3949814089885242,0.35080566958348536,0.9166534911380126,0.14021195376998552,0.4152070763443028,-58.84428859742516,21
TAYD,0.01323839990231268,0.6409841660179703,0.8880724356537235,0.9096563025989303,0.1047905849366162,0.601384089514054,-49.05760987970987,22
NBTX,0.7276076606418349,0.7442194758640333,3.5844337462288234,0.46998658756413014,0.5535319151303488,1.1941537013416288,-60.19827086056431,23
EQNR,0.20555424060472216,0.4584757510070254,0.45606947383930785,0.9103908882707161,0.19443729737923343,0.48528581689027145,-20.99889040094992,24
047040.KS,0.6412478336221836,1.542281879194631,1.4921052631578946,0.8938045851693835,0.4129060612037858,1.1895819684794602,-30.281690140845075,25
DHT,0.3253074069467119,0.5590977181669277,0.6240449767124858,0.8589673256543018,0.22824506608770867,0.37609047611059504,-20.794546486241426,26
FRO,0.23750952962006555,0.5613570663575316,0.5751002616050804,0.9114104532348258,0.17738157766605833,0.4685532113225046,-48.874209902161546,27
DAR,0.0884909433427381,0.42551880078333904,0.7610666339382368,0.9590781843087813,0.12422438839527516,0.18288895332459842,-37.230586390451634,28
AROC,0.13501824562135156,0.391392338611497,0.6111910626999448,0.8939904670909461,0.16960123554054674,0.33610702781625407,-28.642869613545752,29
FTI,0.0735767577582489,0.38068495446263295,0.7333460039950679,0.9526706042860779,0.11209863036035905,0.24387412334382044,-28.940265862794757,30
CNQ,0.1978427722271643,0.40939726609409277,0.5370689396367692,0.8997036977980449,0.18967337718969235,0.23289532661342285,-30.264191928410188,31
494220.KS,0.07284547424570764,0.623203026481715,1.207133058984911,0.9206201253461433,0.13366471103374278,0.9547207037211846,-28.15707273538599,32
469150.KS,0.23651397821236375,0.8842000000000001,1.6802275960170698,0.9403104041000865,0.23370777076019378,1.038653236262895,-43.70558077881033,33
421320.KS,0.059230340211935406,1.1710105166895288,1.024733475479744,0.8433309652593435,0.20277784568862445,0.929086118478835,-25.629579619411047,34
396500.KS,0.15296137339055793,0.8087799622946406,1.5033372083000387,0.9407909008542343,0.19034781507254972,1.0094736342822743,-41.449042661147054,35
CRC,0.16432660971111313,0.3722392477463743,0.22078989290378992,0.8987568290121861,0.18198570508194045,0.3586494396745752,-41.97589776627775,36
319660.KS,0.044520547945205546,0.8957649756449559,1.122221532149903,0.8943949509812762,0.1400381165574105,1.2840201775933868,-57.5647688031802,37
218410.KS,0.28716904276985744,1.0533737310382723,1.1144658243018113,0.903763226059127,0.2735760364921691,1.2230129226449746,-40.93178019146575,38
272210.KS,0.49521072796934873,2.2486992715920917,1.7974910394265233,0.8948120163460488,0.4965425870698825,1.724565180041937,-33.89212827988338,39
TTC,0.029868922617046545,0.36708229636820855,0.34809327720062067,0.9033693263558717,0.08744537548590747,0.2699983842788041,-32.945217981008525,40
MSLE,0.08550928967065596,1.0430146934085966,1.1225021637767898,0.8685059239124716,0.15014507710212266,0.494012576886902,-55.66102215027857,41
PBR,0.20673613388473777,0.5097590996469772,0.5046833923149552,0.8951380265518795,0.22212633738182852,0.39690547134019577,-26.036367201901257,42
PR,0.13427987305064804,0.33355746941849573,0.5753118734039262,0.8734783013722196,0.17192502366844287,0.2806278712123247,-34.774580323613236,43
OVV,0.1595281724835682,0.350200110106784,0.4168899920991942,0.8856004901575901,0.1811067634018031,0.3846097961291651,-37.45032028040107,44
SFL,0.20088764714052387,0.36096210443238563,0.44885986386766175,0.9111433810332106,0.14888321783451142,0.37863716497793454,-44.709414571439495,45
PDS,0.05093816061500145,0.31204946748593776,0.6854566950166159,0.9236677749680586,0.13698576764724013,0.4511279291828964,-48.56345474713009,46
PBR-A,0.17199035052635336,0.45710578596126084,0.49831836141294006,0.8825697722239813,0.20484085425918663,0.35747924492693295,-23.918955656587837,47
USO,0.3568717934315848,0.521799779740417,0.4964498338791723,0.6954358826786711,0.31118818528131587,0.6509085104054172,-29.16545075252457,48
VG,0.14839132416958178,0.8683617981683294,-0.09861342996797318,0.8573171106393036,0.22319983400449295,0.9245949487677925,-74.58087734991328,49
117700.KS,0.10017574692442888,0.5175757575757576,0.5361963190184049,0.9157533600115834,0.11982640839524006,0.7831580252854224,-24.56896299274969,50
091160.KS,0.12487298182228757,0.7346565682945938,1.3275318303936454,0.9427284210690321,0.17769088007646583,1.0370489379594408,-41.10963746808611,51
131290.KS,0.08695652173913038,0.6854838513630135,1.1338481926023691,0.9081296248677398,0.1989196195807994,0.8937814514261984,-57.872598899705,52
074600.KS,0.14735099337748347,0.6968921110318074,0.5850515118511654,0.9283031705762237,0.23031088350704154,1.1230251129586784,-62.13383611914023,53
095340.KS,0.08930602957906708,0.7744612803021913,1.7345804724938265,0.8449515933897748,0.23195610754028406,1.1251821777237294,-57.57726519651379,54
SKE,0.006284317036442388,0.35408720543694416,0.9073729108793953,0.8606289395753984,0.09529860406984758,0.6521114899536915,-25.060838362131545,55
MRNA,0.34825031724187694,0.900217957307452,1.4852214755759743,0.7969693917633321,0.2698899143885991,0.8779193375361364,-85.66344923794405,56
