symbol,true_rank,model_rank,gap,candidate_score
AMN,110,36.0,-74.0,4.005056397819964
HOMB,34,86.0,52.0,1.7357572230866636
NEXN,11,61.0,50.0,2.7123306903732676
FBP,33,80.0,47.0,1.876291505858955
MNPR,82,35.0,-47.0,4.014306167057213
LTH,67,20.0,-47.0,6.191819469599633
DVA,105,62.0,-43.0,2.690173994153543
GCBC,116,73.0,-43.0,2.151426405078211
HSBC,62,104.0,42.0,1.252942975147453
IQV,79,37.0,-42.0,3.996556707405972
PK,93,51.0,-42.0,3.100070755547655
RLI,25,67.0,42.0,2.366396814722984
CNA,28,69.0,41.0,2.2142714097110776
ANF,40,81.0,41.0,1.8435032430462872
LIND,66,26.0,-40.0,4.6351190263158
AMRX,77,39.0,-38.0,3.8509200142805047
URGN,59,96.0,37.0,1.5521531179731478
CORT,100,136.0,36.0,0.6060105973760417
CALF,71,106.0,35.0,1.2042938157975134
ITW,69,103.0,34.0,1.383263508982499
OII,87,55.0,-32.0,2.867036528410755
OSBC,63,95.0,32.0,1.5643235702324854
CFR,58,89.0,31.0,1.6584087919219024
NTNX,86,58.0,-28.0,2.75165297824288
SN,50,77.0,27.0,2.003672485563278
PRU,39,66.0,27.0,2.4038557816756185
BBY,47,21.0,-26.0,6.129950256733286
UHAL-B,30,56.0,26.0,2.8535236880102977
INCY,95,70.0,-25.0,2.17750489569549
PLSE,38,13.0,-25.0,7.477664571274558
AJG,101,76.0,-25.0,2.0813973938229835
MPC,84,60.0,-24.0,2.742004940234017
PAYX,19,43.0,24.0,3.458929719547291
KMX,24,48.0,24.0,3.216332344204708
PBF,36,12.0,-24.0,7.552253995653656
EPC,111,88.0,-23.0,1.699222740034281
VLO,113,90.0,-23.0,1.655845453039356
NBTB,60,83.0,23.0,1.7799069853976972
DINO,52,29.0,-23.0,4.354518512066704
ATRC,46,24.0,-22.0,4.9819072230705155
