,rank,production_fms,candidate_score
BJRI,1,2.7019317482474143,8.810565726477451
TNET,2,2.8171272782570638,8.5260546836148
291620.KS,3,2.380635970074603,15.806652245388605
251340.KS,4,2.3215025609609095,15.568302027161693
NSP,5,2.7673324722465695,8.755391411354713
250780.KS,6,2.2646965187117134,14.995717824453362
275750.KS,7,2.2752776426532915,15.215980702429372
GSHD,8,0.3483217623922597,6.223239909616235
WKC,9,2.7603774329472444,4.960300862968475
KELYA,10,2.0909110807837687,8.476317289228424
NEXN,11,1.1580707109253683,2.7123306903732676
465350.KS,12,1.3148814538324949,5.000286189499363
CBZ,13,2.1085069191774917,11.36922748222877
CAKE,14,2.5446349124713192,6.702105638442527
AVTR,15,2.388775747899063,10.764646795820846
EAT,16,1.881767341543224,4.516146233102349
ETON,17,1.842774852445759,9.714213271429571
PAG,18,2.1296590967942626,6.302293328018851
PAYX,19,1.7859176776060819,3.458929719547291
KFY,20,1.5947617597171908,4.02871961278411
CTAS,21,1.0422020609052933,4.393911082884252
DYN,22,0.5618846979743342,4.248301370954154
MAGN,23,0.0463080180611736,4.1761110381026985
KMX,24,1.117947227868186,3.216332344204708
RLI,25,0.45049712283862464,2.366396814722984
RHI,26,0.24677574099537725,6.991556595562142
LAD,27,1.1363208110391017,7.264365655045007
CNA,28,0.526646845241616,2.2142714097110776
ETSY,29,0.5366986130082789,3.7138353604285124
UHAL-B,30,0.43313827865761007,2.8535236880102977
ZBIO,31,-0.2376448840615443,2.9436877476962184
TRV,32,0.3795839881205188,3.4683889129030026
FBP,33,0.5096965247340596,1.876291505858955
HOMB,34,0.9344679466594944,1.7357572230866636
FTRE,35,0.6399378943923199,6.980040762757863
PBF,36,0.023195002831260452,7.552253995653656
XRAY,37,-0.1721457463498349,3.6352849464419545
PLSE,38,-0.36411871206955726,7.477664571274558
PRU,39,0.6831609916975315,2.4038557816756185
ANF,40,0.4656301237303183,1.8435032430462872
DK,41,0.08152242766022158,4.260286173924835
FA,42,-0.008265959120148311,5.040116107425206
CALM,43,0.6396835474728017,2.6083040801322057
CIB,44,1.105063024622949,4.2253167826192195
BLFS,45,0.37011992223159407,3.933621514983842
ATRC,46,1.1905885472035898,4.9819072230705155
BBY,47,1.8977381178527306,6.129950256733286
SCSC,48,1.7490524512804566,2.868528431699584
BAX,49,1.2716563824071736,3.2808868462841927
SN,50,0.19942551891585322,2.003672485563278
XNCR,51,0.3731931331282769,3.2789749192648
DINO,52,-0.5031890052575179,4.354518512066704
MET,53,0.4327070461282552,2.1276711322973427
MLKN,54,-0.04282850367069531,3.426880434518714
WLY,55,0.49500179807901595,2.171856106906168
XHR,56,0.8724648422642295,3.1808791205048683
WWW,57,-0.23150677927609897,3.3641221248413973
CFR,58,0.5564020376730635,1.6584087919219024
URGN,59,-0.4829084186879542,1.5521531179731478
NBTB,60,1.1672377088726873,1.7799069853976972
NOMD,61,1.1907790204470565,2.8829557749435466
HSBC,62,0.11962299880162205,1.252942975147453
OSBC,63,0.5934035281823762,1.5643235702324854
RLJ,64,0.6126692517299662,2.766502180529008
JOYY,65,-0.42261084400884075,2.5768314004971353
LIND,66,0.4382235051093736,4.6351190263158
LTH,67,1.6672530486898107,6.191819469599633
LW,68,0.4849889294640337,3.1153448943426962
ITW,69,-0.25495982408630313,1.383263508982499
MTN,70,1.3050905759547533,2.743813451356578
CALF,71,0.047007619781850814,1.2042938157975134
HQY,72,0.44349513975829946,2.001633561334771
CLBK,73,-0.32460399543828067,2.1612695215180326
MUFG,74,-1.174245444989771,1.598199194238463
LXP,75,-0.09597159945853512,1.816396070310395
AAPL,76,-1.2933168752746256,2.322190189625347
AMRX,77,0.8608798137153726,3.8509200142805047
AON,78,-0.2309440494082775,1.5875295027949348
IQV,79,0.48970024404996926,3.996556707405972
NMIH,80,0.13282768068829326,1.4668700701053816
MBX,81,-0.42797491717468694,1.7450667688559975
MNPR,82,-0.18376985642522742,4.014306167057213
RUSHA,83,0.07955206591668804,1.5392652395586452
MPC,84,-0.6151465608949389,2.742004940234017
RTX,85,0.13082129527956135,2.5064391668708637
NTNX,86,-0.18855884764097214,2.75165297824288
OII,87,-2.0560795416242157,2.867036528410755
MRSH,88,0.4323589464202873,1.5416322601902523
CLDT,89,-0.8659823399070992,2.0842872889453883
AMWL,90,-2.055436157484079,1.1955955522887671
PKOH,91,-0.9212840150963276,1.2461822652633794
ILMN,92,-0.47656532918330374,1.101563799003608
PK,93,-0.2408628678827052,3.100070755547655
FLXS,94,-0.4100256853231112,1.9018559425389707
INCY,95,-0.16661977260719085,2.17750489569549
SLF,96,-0.6749647865361388,1.0390276402913252
EWS,97,0.18938954637118605,1.4541548220884999
CRBG,98,-0.2066804889116729,1.743869510410402
ALRM,99,0.4692224807211257,1.5884177432726874
CORT,100,-0.5612038227326448,0.6060105973760417
AJG,101,0.19386903814125195,2.0813973938229835
FMS,102,-0.7507484822187627,0.9914387052448106
HXL,103,-1.0245918115689183,1.729753438851671
GLBE,104,0.2860473260811905,1.3890536914360883
DVA,105,-1.680784534803503,2.690173994153543
CON,106,-1.6828185726097313,0.8680806437637516
ESTA,107,-0.9244675889086121,1.4197625373621683
360140.KS,108,-2.0657235210791853,0.8508881043630012
ADPT,109,-0.11203927964121113,0.937492547796727
AMN,110,-2.3527767988475903,4.005056397819964
EPC,111,-0.7730568032732723,1.699222740034281
