,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
298040.KS,0.6297602256699577,0.8082942097026604,0.4869854379054752,0.6099251534357791,1.5850836093088811,정상,0.4967389510366762,0.8056692760907599,0.2036458333333333,3.461389961389961,4.880407124681934
000660.KS,0.4285714285714286,1.1888437009424495,0.3792085095385133,0.5486176979554994,1.2239892400093442,정상,0.07465911491102,-0.3551772032266016,0.0560747663551401,1.981788495870767,2.280636595918565
267260.KS,0.4630225080385852,0.7948717948717949,0.3865478335099335,0.471684728320202,1.2162424985628086,정상,0.2661986067666705,0.1871870880695021,0.1097560975609757,1.731200021009231,1.419188953611055
KORU,0.5175688054062151,1.231566291174958,0.4574939292882372,0.9301875626194414,0.9451001658994472,정상,-0.1240034681495625,-0.4529940299672608,0.0717628712756008,3.1944444361468625,4.099256518534139
010120.KS,0.5687285223367697,0.4003067484662577,0.400478702381027,0.665177903787141,0.9336269210160156,정상,0.3100536447608684,0.7465001210966833,0.2173333333333333,1.0797266514806378,1.8389303482587065
006400.KS,0.5714285714285714,0.488532110091743,0.3514169511101344,0.6855406516464633,0.8801266052761203,정상,0.009962580472939,0.4700350705348915,0.1385964912280701,0.9043427230046948,0.3111111111111111
000150.KS,0.5773710482529117,0.5669421487603306,0.3831343939753797,0.7552412487753866,0.874259708173776,정상,-0.0254108869970522,-0.205089713344249,0.0846681922196797,1.747826086956522,2.742894164288081
001440.KS,0.5507518796992481,0.5073081607795371,0.4044010576881607,0.7349253133305638,0.8372814916228971,정상,0.1344535187151322,0.9187722096818924,0.3053797468354431,1.1081771720613287,1.2197309417040358
086520.KS,0.8467995802728228,0.6955684007707128,0.377867738176598,1.2678066231898646,0.7585559134282183,정상,-0.0310770208684307,-0.8281165774447432,-0.0618336886993603,0.8663838812301166,0.5633713637111861
CIEN,0.2704176073599216,1.0681600311279196,0.2755858203269306,0.4467827015823544,0.74226106926716,정상,-0.0524170290612879,-0.1373457673901088,0.0310531883557041,1.5775850988253906,1.1731724070675904
GOOX,0.3088917347347575,1.023243552211452,0.2990264095162345,0.5558111374349699,0.6631406931879755,정상,-0.0477393284758063,0.3924343672524907,0.0795020007430244,2.122033781088217,0.797209708897221
GGLL,0.3135885460252752,1.0331309698951636,0.3005632798862214,0.5743141389081557,0.6518001065005555,정상,-0.0347001391930367,0.3894936728859823,0.0787249882179128,2.179616472400203,0.8048431536510359
LABU,0.2854816661095638,1.1775930349569923,0.3023523393075615,0.6610294108680443,0.5189471766377399,정상,-0.0997765458164535,-0.6032997147725255,0.0194597933234372,1.888333935928037,0.4222051358741172
011070.KS,0.2921940928270041,0.5625,0.2487346216627859,0.4141044864564929,0.4987687705438972,정상,0.08759781819342,0.5095232763824099,0.1111111111111111,0.7689530685920578,0.53099239258863
HSII,0.2147423950080693,0.3154233595375884,0.087164016982876,0.0637737983979087,0.4909208510698865,정상,1.085220162595803,1.0775888408265306,-0.0100296234583168,0.407245432526258,0.2912055719010058
VIAV,0.4097147387715427,0.8105509510621156,0.3717258649305111,0.8070579389380949,0.4753679805713288,정상,-0.0459590776674322,0.2637349678385822,0.2573827146517196,0.953678915808576,0.7006793181150603
417200.KS,0.4285714285714286,0.2384473197781884,0.2663381129230024,0.5383261572636081,0.4677349045006177,정상,-0.037139800321892,0.7566452527228823,0.1974977658623771,0.2293577981651375,0.1375212224108659
IMVT,0.4794610695449746,0.5881204920983125,0.3681076842741049,0.8366360525209011,0.4630720363993231,정상,-0.0355306485281652,0.3956675050461712,0.1412778430000587,0.7856343384762055,-0.0330819188192276
RVMD,0.2761680930708157,0.6479079688253988,0.2246387385218193,0.4230397414358748,0.4548466175845009,정상,-0.0563276063309458,-0.2428271796878648,0.0055135935969816,0.4766302863525005,0.3054625126029942
005380.KS,0.3386363636363636,0.4151309240118692,0.255449417577793,0.4769565294080215,0.4304500997006026,정상,0.0825061034920646,0.5648643599656515,0.1571709233791749,0.5900245530903108,0.4672147029112083
NXT,0.3294992541825323,0.9032061301048862,0.250734413366245,0.6334509434984542,0.4284737789941539,정상,0.0911579178666232,-0.0975874409897945,0.0178366821670774,1.206151570908995,1.6889777949647289
EGAN,0.4726470200184292,1.2960256626409068,0.3004596136664321,1.0371973036127764,0.424376453648239,정상,-0.497681113319248,-0.3416199494641827,0.0221779489514002,1.8964715309878533,1.2461965202070069
TSEM,0.18571239200421,0.7902115172350959,0.2205474331544512,0.3590566196623,0.4104572360924021,정상,0.1385619529239551,0.1679904101079297,0.0683854109050132,1.3038317876361725,0.6045957500497305
051910.KS,0.4414414414414414,0.3289036544850499,0.2367896311433122,0.6000350507568646,0.4018581908997996,정상,0.0174948395790133,-0.1351342367487745,-0.0099009900990099,0.9464720194647204,0.6059701941969271
MU,0.2069297240536247,1.1139556626561884,0.2553516459020704,0.5446226115717324,0.3997208104187952,정상,-0.1031332299548151,-0.5040767196999867,0.00751197774781,1.6478101502233025,1.587689899228129
GPCR,0.2373873947874312,1.0980808456145144,0.2846193276990392,0.6146766365665143,0.3951642624592422,정상,-0.0580936398417923,0.7976608781080412,0.1525207962334329,0.3218119139253792,0.1923007730400834
NKTR,0.0863664342506655,1.9702993608682284,0.2500388963511455,0.6746252939888578,0.3787431533338282,정상,-0.022596397970869,-0.052144482261167,0.0283658695790016,6.442134447079468,3.5169131345038918
UPB,0.4057004835679096,0.5877988224964927,0.3054227669013831,0.7187668724347915,0.3728318807726126,정상,-0.1298310386891122,0.0428339117976689,0.0863884928054172,1.97294845733578,0.5259112043440308
010140.KS,0.379862700228833,0.5382653061224489,0.2948597378015167,0.6803470983371687,0.3240382990191404,정상,0.1195685759487925,-0.1201901214717832,0.0360824742268042,1.0316711590296497,1.668141592920354
240810.KS,0.1322751322751323,1.1049180327868853,0.2443787729479136,0.4627017053401396,0.3230204371094686,정상,-0.0139994751646308,-0.4025484851229507,0.0222929936305733,1.9449541284403669,1.87248322147651
066970.KS,0.6775067750677506,0.7194444444444446,0.3229059068377404,1.2271922193524625,0.3095161343832628,정상,0.0733135814611685,-1.712163165485686,-0.1201137171286425,1.0032362459546924,0.528395061728395
005930.KS,0.1944289693593315,0.5650913099199251,0.2136403286020853,0.3448896154284614,0.3070261637311209,정상,-0.0211100768538743,-0.0054544216895611,0.0509803921568627,0.9769846460090096,1.0485417934414891
ASMB,0.3488949512574906,0.6411941617999997,0.1905584731075833,0.5838653986860806,0.3054490986662783,정상,0.0198746441307784,0.3255470322191618,0.0325563057550197,1.5732120722498415,0.9095240726392376
ECO,0.223683294735729,0.4469169338802163,0.1921976515401879,0.3355318218000965,0.2920307936101595,정상,-0.0869783323949993,0.272110892921976,0.0582443242572201,0.5418445382070616,0.6741937287147548
006260.KS,0.282126168224299,0.2896592244418332,0.1726526545365929,0.3516737890500531,0.2880625775485979,정상,0.2270598469802937,-0.2630153542764888,0.0209302325581395,0.6211225997045791,1.3602947612982228
ABVX,0.2364153089855052,0.5224420511761867,0.2150195450153316,0.4091136742392015,0.2809761367614471,정상,-0.0335232403572497,0.2356686392123799,0.0701918457107038,14.48308996121708,12.57826273576405
348210.KS,0.2624521072796935,0.4036208732694355,0.2292140813037406,0.4223117454859058,0.2756742212268794,정상,-0.0198197212312038,0.3323252288981891,0.1284246575342464,0.193840579710145,0.2896281800391389
067310.KS,0.1878787878787879,1.5,0.3075993464096351,0.7818048991057598,0.2599037760523572,정상,-0.0010751449749316,0.3379185930220418,0.1484375,1.6727272727272728,2.1818181818181817
TRVI,0.1956021045932989,0.647158197517606,0.2387999044650157,0.4355796474517891,0.2435218412514155,정상,-0.1189535859121151,0.0902276892716399,0.1004685818055131,0.7920495411564676,1.7464511333847033
352820.KS,0.2897196261682242,0.332046332046332,0.1975466611755494,0.4325673554193003,0.2334862221364544,정상,0.069628697733731,0.4931506337225577,0.1147011308562198,0.2777777777777777,0.7854002292395674
278280.KS,0.616591928251121,0.5606060606060606,0.3594446632793273,1.1600361551449196,0.2273826460619477,정상,-0.0266808845114776,-1.2436455401383846,-0.078005115089514,1.1237113402061856,0.9834938101788172
BWET,0.2778565286372294,0.5703440293862181,0.192952254646161,0.5015657077140089,0.2222653781778704,정상,-0.1175034946176026,0.4980397611766978,0.0537555013873027,0.5549893467974798,0.7788839845058217
POWL,0.2773990404239916,0.7299769495602231,0.2195005785125696,0.584165588802066,0.2190719789026166,정상,0.0472274845948358,-0.2761498571151911,0.0154885734892245,1.2308476534099833,0.685010664660844
CDRE,0.1756611306249023,0.5148628976886056,0.1330856570407033,0.2751314257172605,0.2172918922217997,정상,0.132048460803044,-0.0828168844034029,-0.0172164792364916,0.2235871734265839,0.2894617226399472
PVLA,0.2296222779771586,1.0986899242701926,0.2447541458989341,0.6717096086163984,0.2105478872189894,정상,-0.2420492935284238,0.3056064034178982,0.1233917248580369,2.5567461091260943,5.456687952162982
003670.KS,0.4905149051490514,0.4579191517561298,0.2606169447611013,0.8521139241873501,0.2092832230984809,정상,0.0783987658688354,-1.3268804322064802,-0.1038696537678207,0.8257261410788381,0.5482054890921886
018880.KS,0.3751987281399045,0.2872023809523809,0.2119620505015675,0.5741328819370539,0.2065273177926806,정상,-0.0954058694213222,0.198274821472749,0.0839598997493733,0.2968515742128936,0.0785536159600996
NTRA,0.2042581934906546,0.4790519094225716,0.1372567471887629,0.3163314313569325,0.2050512347712456,정상,-0.1493429826532591,0.0941807768612331,0.0255812995719946,0.3279904962681841,0.2195226724956009
HQL,0.1402805779520313,0.4235609474529405,0.1462512372638551,0.220823138960833,0.183819477092742,정상,-0.0521724831737794,-0.1321608611475739,0.013834979108136,0.60152634578139,0.4491105058565132
VSCO,0.2276101583798853,0.7676665986889848,0.2288063897281076,0.5582245015727961,0.1719778647393622,정상,-0.0645037299654488,-0.5564530772547227,0.0017874566879398,0.856514003672433,-0.1741149943004555
GOOG,0.1584787727815413,0.4710964855118462,0.1587299960134103,0.2846233965614796,0.1700223151434364,정상,-0.0245595692253136,0.1412084276583524,0.0346395634084033,0.8556065261129138,0.4407492332792355
ATEC,0.3781123216758915,0.2830765094007934,0.2608925105676869,0.6536440458467194,0.1522629456847056,정상,-0.0521098867345496,0.2522624424961123,0.1350339127389075,0.5776283076205349,1.0074872667178283
NWPX,0.1686879784130113,0.470707608753464,0.1581534870465937,0.3113363325496891,0.1490099828628241,정상,0.0773254433198565,0.4031040108020483,0.0865288868037059,0.5912480027323772,0.2097372663165504
SYRE,0.559472086484945,0.5739637480721786,0.251619881220718,1.0308692480983983,0.1357239494819593,정상,0.0433915144389731,-0.0302902698689186,-0.0134486670023779,0.7596759891756755,0.019633235442749
TAC,0.2371235890998457,0.4967141314493795,0.1817868371329487,0.4533170696853393,0.1355074499782567,정상,-0.2190415654068509,-0.0277635369387463,0.0300446063908079,1.0875794772903435,0.2273689335788571
267250.KS,0.3138686131386861,0.6155572176514585,0.2962429106197346,0.7203432808624473,0.1307634741450234,정상,0.2779013138334449,-0.3325975763105823,0.016470588235294,1.739865307793365,1.81410194035423
BTSG,0.1806204285926507,0.6557271479564712,0.1508727134152021,0.3989001572242088,0.1304677582275222,정상,-0.0127524095455286,-0.2963221060785955,-0.03186073361189,0.4690995157999884,0.8833338998334805
089030.KS,0.0932896890343699,1.3438596491228072,0.2068252783213728,0.5708634072552237,0.1187469351197612,정상,-0.0167188866066314,-0.216390248494239,0.0,0.9821958456973294,0.7373211963589077
010060.KS,0.3425925925925925,0.2045690550363448,0.1781631804559107,0.5202222267229893,0.1086254699464001,정상,0.0948714575381622,0.0729522778224731,-0.0085470085470085,0.7313432835820894,0.9727891156462584
AORT,0.1196974557666743,0.4439128269155084,0.1001525138629462,0.2069273518345731,0.0915864661243041,정상,-0.0468032535559568,0.0363948586158479,0.0049424120654153,0.5919010739860018,0.5400156943808674
121600.KS,0.4264069264069263,0.1705150976909413,0.1758733207595542,0.6457339800979883,0.0848705473322084,정상,-0.0190393518091642,-0.694036518873003,-0.0692090395480226,0.2433962264150944,0.1323024054982817
ZSB,0.1068203038552988,0.3123393737860143,0.0989972811874884,0.144646330060281,0.0829327445556054,정상,-0.0259676006218726,-0.2029493369179842,-0.0079347989850218,0.3789411198985815,0.379820993516005
011210.KS,0.2206477732793521,0.2169525731584258,0.1515651744676454,0.3311555459110146,0.0826752621258134,정상,0.134089002413818,0.2752126100952607,0.0710479573712254,0.3958333333333332,0.63202562726809
277810.KS,0.4195121951219511,0.5872727272727272,0.3485212740895673,0.94677810752175,0.0804087780502583,정상,-0.0443807673198348,0.6639493366460094,0.2763157894736843,0.6047794117647058,1.6828518746158574
EWY,0.1719625956217954,0.3612895300067476,0.1620850993463924,0.3203423241672308,0.0802881169797298,정상,-0.0398155483239175,-0.1506569629986811,0.0192539496051296,0.7055584277039144,0.8497363195594039
GOOP,0.152039950996877,0.3548212638367363,0.1407545667805068,0.2694268803620219,0.0781407886452194,정상,-0.0224170278314261,0.0953849287341637,0.0333194072843272,0.718180589077861,0.3524876397716427
SUPN,0.1551452906706745,0.3340859693148452,0.1523125485378023,0.2789355225232956,0.0756124418032512,정상,-0.1549252436210416,-0.2479751644458204,0.0362892466873716,0.7641037546389806,0.4795516012461145
JAMF,0.2235073265375284,0.8483155355093785,0.2295429609222887,0.6386716874199203,0.0718738059836782,정상,-0.0979095222504173,0.757810891050992,0.1769128221585756,0.1690246912897715,-0.1124407677176647
INSM,0.222197503973037,0.750130607061239,0.2468445902696661,0.6189680368405165,0.0700106139244162,정상,-0.1222387861473046,-0.3258781126308432,0.1455391347637136,1.955195294484418,1.6650667682178688
009150.KS,0.2213740458015267,0.5424164524421593,0.2041783948675424,0.5071912919905375,0.0647302274024845,정상,-0.1639585776854958,-0.0800360657291187,0.0503282275711158,1.04778156996587,0.938610662358643
DYCQ,0.249826482622721,0.3229976502005012,0.2051251282773563,0.4732365893886217,0.0641393204400609,정상,-0.0274432356735178,0.3418855777106144,0.1495789077091394,0.3127662190801008,0.3004323409286424
FORM,0.4025930888932414,1.0432202883894175,0.389808118623717,1.1311955516978422,0.0640372760258651,정상,0.0197274806160527,0.2485527115424777,0.244112214659435,0.8704531981887931,0.2119523962852729
LITE,0.2465480288456156,0.8816695121034686,0.2581408231041746,0.7163334366792314,0.0640046338463609,정상,0.0754684305260153,-0.0679821842450308,0.030668415014222,2.151779483681106,1.3299907406416631
WDC,0.1589004940220735,1.0933251780694595,0.3315741348162744,0.7294742119592638,0.0614346930878182,정상,0.03956877526459,0.0241954491194283,0.1751505376661883,2.465527878829074,2.243979610816973
