,R_1M,AboveEMA50,Breakout120,Slope30(ann),Vol20(ann),FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_3M,R_6M,R_YTD
SCLX,0.5247164981730978,0.6000489434249261,0.0,4.033533293982498,0.8997512163161147,3.9246247141289285,0.13476135168686199,0.03710344499552898,0.15051190823191796,4.7961089274471265,1.5815119672779376,0.6690168640613017
CTNM,0.7150218838350997,0.47446940677995997,-0.010487091611038113,6.844917816456458,0.9143492675004503,3.7674483763601048,0.10133557277514482,0.11136122274423865,0.07237201428367679,2.2172092624301145,0.6634568533211891,-0.20142058362082926
MLYS,1.6460332253952061,0.7984103403203398,-0.036302641277120906,10.468716304468126,3.1276226658753634,3.7274264362872103,0.005723981122061517,0.02744776033625307,0.0641313444205498,1.7552043603335603,1.1347784853298335,1.8538347092798397
SPHR,0.49272509239214846,0.3004234156848353,0.0,2.977004117985977,0.6020442271570355,3.7064015050114327,0.0638801718744495,1.0401190304594858,0.19064884704842844,0.5630450009742491,0.7427748825405969,0.36988610819542234
FORD,1.481628594014008,1.4204814814568754,0.0,6.4891047338803745,2.6232053638750354,3.640805513377055,0.05209029252961894,2.054533138908628,1.2025432562865586,4.6661585607269185,8.341983478884167,5.90581584548677
IAG,0.4058460612356536,0.30595824092523505,0.0,3.388842980944456,0.44395127365592596,3.63774179206864,0.04087740467189871,0.8294126303693141,0.12406420757085246,0.5146837963187518,0.7327957221287353,1.0479883958573053
NKTR,0.8380848546851036,0.6668295882614534,0.0,6.549225440556213,1.0891459295096086,3.6281923250922254,0.09763720963466804,0.05913912285225731,0.209319943062932,4.706443029540337,2.590995896445307,2.304375262710414
HYPD,1.2565722617700192,0.9399901731996465,-0.05992775416019336,3.201061177912988,1.8784127084432007,3.6187655831208487,0.24770329035109695,4.625942167747908,1.435252606023878,1.1994199981827665,9.014381809102522,0.2144564272666445
SATS,1.6602842619335343,0.6519732892705996,-0.10142051005813657,12.138784041705728,2.626042092900324,3.6128544547608614,-0.027190799014527478,-0.0473338620129482,0.11172331677477487,2.143542057785558,1.72052554202791,2.0967157547010378
KALA,1.3252504908090565,0.9043041235354337,0.0,8.093075630564497,1.0886632930729805,3.608104050014569,0.06750823554271834,0.17280339774818154,0.2773716570134914,3.5586113425610764,1.6360013352797873,1.540581982807637
MUX,0.34046672675303524,0.21081883495279818,-0.010082144979109087,3.000201233073003,0.8460886239092069,3.5859995075349365,0.06251324162147931,0.26382197532050977,0.016550068422884756,0.49977275926131837,0.5952062019447535,0.6820597411028269
TRML,1.14292845702734,0.864525532232097,0.0,5.632599901839323,2.078022736510086,3.537369776518173,0.08439035166994957,1.7553423433723503,0.7772043443881462,1.6799916156976495,1.7151924723477134,1.2230191983124032
PTHS,0.7269310118754584,0.4212723655542734,-9.355359509777283e-05,4.816055760633005,1.2660203785979398,3.4897551184849127,0.07238728044884013,0.826242624427707,0.14919390328457705,1.6641845095912071,1.127684644319368,3.799596260266849
IREN,0.7937126378331161,0.5778620231024731,0.0,6.049743703274198,1.088725454355339,3.488969867338361,-0.05567570916295583,0.017757918067923928,0.2962732571072182,2.5571503368132915,3.5342687486513764,2.274682411877329
BETR,0.5125703782825155,0.3625973909431668,0.0,5.9537611654742495,0.6362483939468917,3.483410283064134,0.10214686744089096,0.011335124949918729,0.04063591140414968,0.7809058360768695,0.8533883532980284,1.6528603314639927
