,R_1M,R_3M,AboveEMA50,Vol20(ann),VolAcceleration,FMS,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
TREE,0.21439011607176917,1.1630189608135715,0.24067959912745684,0.42222402275520043,0.6201461382062662,2.638304855888309,0.04412491452522005,0.023321919962610682,0.0595045605056308,0.32207707091527604,0.8551009801987479
RAPT,0.9683735628654859,1.7739269224087906,0.6399570903721523,0.8043758248684134,0.6407579448678812,2.60624065634927,0.2694141525049738,0.3970741587185098,0.29772226585859585,0.6664349599039385,0.5237994867606712
OVBC,0.07162420021744986,0.37607324033329137,0.08893891573043211,0.2385190873832144,0.49458061488302824,2.4351715803829133,0.4674666276739734,1.1600016060670382,0.04773337049935611,0.3553500414796218,0.5436036772394723
PGY,0.43320174125720934,1.3535193809013752,0.31490654708731425,0.6554834367022084,0.7652225975981214,2.4252003254814603,0.2965390892163353,1.607371469530023,0.1419155621246122,2.5068767008020245,3.4307638349364202
LASR,0.19092189179129693,0.7846621823348314,0.21658562367254808,0.39534855458152485,0.446543014264107,2.409611404308177,0.24034617366001854,0.9311192443280367,0.06339503806783253,2.4816925321625467,1.7944746454184268
ALAI,0.12106713260805302,0.2715353987800664,0.0973014132400023,0.18935707389400205,0.5084246727546,2.38121231413397,0.2236168765346589,0.8412355439024051,0.019243021280278994,0.4392297191546668,0.32354044268493465
BULZ,0.33916331704006475,0.6107462927870766,0.2573127947760234,0.4859323642233631,0.4784857675640749,2.3729612383654928,0.09651996878042457,1.3099145864944928,0.14601706625728617,0.9333737790125691,0.4495753536359779
SPRX,0.19310442036545372,0.424596209026721,0.157655258560786,0.31004570784361674,0.6483258488547918,2.371514709159786,0.012725963170947985,0.9818449934335107,0.05117136192180349,0.7272644624946738,0.36261091147264923
LC,0.15148989806388857,0.5884401057900859,0.13695627285384826,0.33628811329724917,0.5511681264247617,2.368168211235958,0.052500738546083614,1.1670754530322687,0.04792494603583375,0.4825119713714161,0.023700110903018823
GNK,0.15914051992997558,0.47471470705715735,0.1281204434151686,0.1793341898208678,0.4290233258463147,2.358109443939201,0.4651552620739321,1.6614218804941434,0.05262421970633646,0.35093832465445374,0.32262719891024894
FCUS,0.18085345553901355,0.2628439069773072,0.12544137558922697,0.22734560551378924,0.7592305060518262,2.3547779693406934,0.19217549595982764,1.7965046002128442,0.04971401993162683,0.20085271466707044,0.024461658560286148
APP,0.4934506267138654,0.8655468719731438,0.3178384204881828,0.4582353032629555,0.6235596226025634,2.3516321004468494,-0.04428937841573877,0.7406967763998784,0.0812119581593691,0.7888636246561276,0.803263150018676
CHRW,0.12740005140217092,0.4761634111494719,0.14002260798793142,0.16347542589483782,0.42726765915267373,2.336310912372319,0.32266143065312214,0.46829367075676087,0.03990986428086174,0.28336186673680475,0.26892254186096265
FMET,0.07287517124436604,0.1709481612571906,0.06424646808190326,0.13873601227715712,0.4460295531824975,2.335767419820183,-0.14602884681156114,1.3458655026528037,0.024375482388472536,0.23164788063790676,0.2016714152252459
NPKI,0.1050126272380012,0.3014434338541163,0.11643512610973072,0.264317244568399,0.4769495357896159,2.2636914518052715,0.026468826351221164,0.15655829188935488,0.028329255850956914,0.7150345718687909,0.35236758091685316
TLN,0.1426674577412681,0.43367632689175206,0.1370532026243636,0.3369499480657525,0.5956712045645411,2.262258703838897,0.1652283213138781,0.7624239556903909,0.029388819976706948,0.9280292570221362,0.9365124778996279
SSRM,0.3131789207426814,0.6843260480846678,0.2329140119532942,0.40062861347043416,0.7128847214847488,2.250749670398921,0.08197908136078169,-0.15259928534501732,-0.04805521602748075,0.8893833722111213,1.9428510694173293
VAL,0.16145071975925473,0.2231892805080895,0.0792737129980583,0.2963788191460929,0.5068908035493279,2.2491302757805074,0.2243272806705474,0.6038152899246649,-0.006887327423437117,0.23589123379196075,0.12092173079101132
FWD,0.0968582560557294,0.1887444093534103,0.07568835217971404,0.19872278550919314,0.5816014678591006,2.2469871471666747,-0.05163307413878604,1.15918382791351,0.02384029014027389,0.2779770355012263,0.1915147887015023
SCHL,0.08824424867018354,0.30923602878782463,0.10538873489727996,0.317550965002411,0.5876358290478045,2.237499514050445,0.17388248063674094,0.6401298911427036,-0.0003267706488286892,0.40289207088106527,0.24846100855420428
EZPW,0.1334618684016058,0.3664979952991756,0.12200506495112773,0.22809554068773147,0.6826233284510508,2.2293189098694595,-0.3165663670125016,0.4176208997781299,0.04651268041523071,0.1253852274641114,0.37549861680236396
VALE,0.10508671568887862,0.22919956235232353,0.06924513833380996,0.168239155964135,0.4871628674949374,2.219307313438293,-0.22052452358170793,0.9981245315422793,0.013499552715367402,0.04335971168821384,0.23375075756870123
EMQQ,0.0900198202063387,0.1692222710348923,0.0821273184500344,0.12769748290054606,0.47244020013902643,2.208969869989103,-0.12002405955319828,0.044561891151322364,0.030167824317798297,0.13423728936257717,0.27665243349029445
HPE,0.19499466209796235,0.4342620931719612,0.13907650690103868,0.2486333579060473,0.5365349292550299,2.207752451739748,0.28778466637336453,0.4262734383406461,0.01438956321028062,0.49975603666870105,0.1338609378001412
TBPH,0.0708318937965382,0.3781854412172072,0.11898532735030787,0.29882178543687293,0.59766426451069,2.204485975945676,0.48926995672408524,0.7838683825037414,0.04972495139349875,0.4671620745525096,0.44477417589328105
AIVC,0.15211446205652224,0.275122219901502,0.10978943632391136,0.242828147775855,0.6361005219414319,2.190736611812693,0.4173957372706112,0.9791188070294123,0.02699309606015321,0.31785124571078716,0.22957921250768787
FET,0.17045127739110622,0.43489519006832955,0.15367330795758338,0.33977723618203953,0.5110981682168988,2.1833130238877185,0.4455420697672461,-0.30705032415476285,-0.011190714725312856,0.24006720481139188,0.6607454328945304
