,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
LUMN,0.6463443043870396,1.8378858056709348,0.5164140925182876,0.9132537005931212,5.548462825273555,정상,-0.5900205715531461,2.6296016306126275,0.26759062913058784,1.5331080173868132,0.8897028210553548
086520.KS,0.8719832109129066,0.7120921305182342,0.41747902361257894,1.262028761455897,4.869348749355287,정상,-0.3293853036666867,0.11535150651942505,0.010192525481313774,0.8335046248715314,0.5846900641254296
RCUS,0.5340013215939325,1.175898278259457,0.3800799123772105,0.8799419673619799,3.8511596746262287,정상,-0.045390424058968204,1.1329648862598294,0.15676803841899734,1.4122026590418848,0.3158582427621688
066970.KS,0.7046070460704608,0.7619047619047619,0.36009188377950796,1.2191963350968218,3.812045280635174,정상,-0.26092332705997023,-1.5592972164339196,-0.058383233532934176,0.9294478527607362,0.5530864197530865
FORM,0.5268365995275877,1.0926878590171212,0.5162128397486632,1.0979701316815904,3.7366407243183977,정상,-0.23790424594524717,2.6899687199821374,0.3611730097300976,1.0147821784232973,0.3067820514399935
006400.KS,0.5714285714285714,0.5199063231850116,0.37051724006031606,0.6839668527660913,3.7225118545008824,정상,-0.38718389115254315,1.0021447251747642,0.10750853242320813,0.8844367015098722,0.3111111111111111
000150.KS,0.5740432612312811,0.5332252836304701,0.40238739867143636,0.756263805543356,3.718129883440003,정상,-0.9230877046286965,1.2241899548464028,0.18102372034956304,1.8623298033282905,2.7349977630976
298040.KS,0.5007052186177716,0.6599063962558502,0.3972574181301207,0.5774517633989406,3.7003098864980286,정상,-0.25858428742747375,0.889682658264479,0.11823436678928001,2.962756052141527,4.414758269720102
000660.KS,0.413400758533502,1.1245064334967014,0.3860154542657621,0.5519575965186642,3.6573270040413317,정상,-1.2283508373106637,0.13071258291642351,0.09607843137254912,1.9470231079693185,2.2457979772008456
267260.KS,0.44051446945337625,0.7777777777777777,0.3849157597401387,0.448489454548897,3.645140455751502,정상,-0.2897693745256422,1.117453886569384,0.14871794871794863,1.6225400881302257,1.3819706620170389
010120.KS,0.5463917525773196,0.3677811550151975,0.4009092645465073,0.6524133225586773,3.5583790606985186,정상,0.11100154628443892,1.9256012516439434,0.22116689280868385,1.050113895216401,1.7985074626865671
KORU,0.4629510179994001,1.1499580107995313,0.41610980645102424,0.9242265219004119,3.4203669167732964,정상,-0.6472941542609099,-0.167778969992459,0.09534550573240308,3.1049167648276077,3.847995497176254
032500.KS,0.5847457627118644,0.41666666666666674,0.3986976525374921,0.8995997964981538,3.402375042422322,정상,-0.06671901623556575,3.8610201992780118,0.41559424678274026,1.134703196347032,1.129840546697039
BALY,0.5188524937135808,1.0706537168376342,0.38938836062304816,1.0836632973643343,3.322104992123336,정상,-0.8907030161662517,-2.738655107236446,-0.033149916701393445,0.6255355065023926,-0.02115610007347557
EGAN,0.5226228978066669,1.317864684969249,0.2436435314953651,1.034535469327973,3.2603193803413504,정상,-0.10960715026685186,-1.7067781079090967,-0.06730512270034805,1.6512810087609493,1.1153352286109688
