,R_1M,R_3M,R2_3M,AboveEMA50,Vol20(ann),MaxDD_Pct,R_10D,R_5D,EMA20_SLOPE_10D,EMA20_CURV_20D,UNDER_EMA20_DEPTH,UNDER_EMA20_DAYS,DOWN_STREAK_5D,FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
DK,0.43081550108117095,0.6531235090514949,0.6363014225004333,0.22971181482993241,0.4884231470177796,-35.465098591558345,0.12119351843553017,0.08553020387880506,0.01140403206076067,0.003410449187005303,-0.07397046353865855,16,1,0.6375280668209202,정상,0.23102360242428388,0.5369525887119062,0.08553020387880506,1.222663993475905,1.1726202707744542
VCTR,0.13793191428679186,0.3766359419841909,0.7475398575458573,0.14553528687554484,0.3528392239101219,-14.882069473475724,0.09787450468838266,0.11209701320080656,0.0046572385515320424,0.005066470717432179,-0.02656416087147151,6,1,0.20317603595735512,정상,-0.016252317586996634,0.8626276139122073,0.11209701320080656,0.4756724799524248,0.6689936415645883
MGNI,0.07366974376499424,0.44257488545728263,0.8989284285003728,0.12342613661108981,0.5263707038282197,-56.207913613468506,-0.06436647440827581,-0.07243780630146024,0.006971354079265733,-0.005796758663657511,-0.0491505034432691,3,2,0.05554527547777885,정상,0.0017679786396056774,-0.6835587873841509,-0.07243780630146024,0.40122048739055494,0.26793875806554057
PTGX,0.1652602079924217,0.2697140856021929,0.7634267098719674,0.10778436895227927,0.44818547446360807,-18.745579305951352,-0.03936909989597648,-0.051773194472459316,0.007089406327893832,-0.004298997038913468,-0.0540954993167998,19,1,-0.023204245170279303,정상,-0.1994589106410345,-0.26071378149921653,-0.051773194472459316,0.5826941631641076,0.5623275869645608
DRTS,0.21595459796264072,0.4859040110601138,0.7160545524823374,0.08354065084723494,0.7464669127035749,-21.78242301377349,-0.14000624846387533,-0.0951868254679219,0.006704615167905404,-0.006786497189421403,-0.07175937694627543,16,1,-0.09946755054708878,정상,-0.0025693464832793333,-0.6788836623532366,-0.0951868254679219,0.8409382139097374,1.4806002947517238
WERN,0.13800006063505177,0.3970871715772708,0.7960213972209921,0.09680119086150318,0.30737098346543545,-27.06477570452972,0.022887958779353346,0.015304932014148287,0.0017355636786744422,-0.0017954613942249718,-0.04294274666217357,6,1,-0.28849806385124044,정상,0.4111057297780447,0.008909717131058814,0.015304932014148287,0.3735349428841028,0.6033434476024813
EIX,0.09566077341093249,0.13504101488242992,0.8788326745585419,0.05662393501871987,0.22920664518090048,-11.591101731829001,-0.0002984324125041571,0.033756956345310396,0.001494326006917427,-0.0027312738720749277,-0.04334908501556589,16,1,-0.47498947682358106,정상,0.2753877843404571,1.2357596329372553,0.033756956345310396,0.3304467232112951,0.3967157538982704
BY,0.08629484893904715,0.17753733362227386,0.8598805970611528,0.07229747165755329,0.22608208347606806,-10.572310206485213,-0.009537087200433891,0.030371112313288817,0.0006149426452302783,-0.0064275862024976045,-0.02304117614682588,10,2,-0.8528824650797783,정상,0.3179483631856975,0.46240561745555897,0.030371112313288817,0.24187116429867506,0.3831386401166763
DBX,0.13407870540275835,0.26795884927059843,0.7107184015172001,0.08868007458150462,0.34976245049827387,-28.241658743171794,0.021098863927182743,0.02355087390370736,0.004290181120114928,0.002605842854899949,-0.04235594996079628,8,0,-0.9159224500630033,정상,0.23984234817236383,0.14374909532221325,0.02355087390370736,0.17556606932215146,0.13210850273611952
SKWD,0.13862321812932676,0.2752106323827408,0.7677227672066218,0.08087962947072436,0.4701241739928833,-19.92459971193187,-0.08827894605310294,-0.03821989374379042,0.003972100206972025,-0.010431685569517783,-0.046482453333214546,17,2,-0.9340460291670734,정상,0.1928365137393011,-0.35771734995270843,-0.03821989374379042,0.2969374623701895,0.18242266308131505
CWT,0.12219321480008949,0.12021474633458173,0.6907622501540643,0.07090270210636995,0.270169500179696,-13.523267076863421,-0.021115680850533614,0.03348237345967253,0.0019586966713346777,-0.004359941247055911,-0.06909502611677731,15,2,-1.293135668404215,정상,0.311909199075425,0.40610502337068355,0.03348237345967253,0.17447287600142714,0.2435307330944434
RDVI,0.007550919105321574,0.09361062572324252,0.8176162753856361,0.015685492255958833,0.13337149500357823,-6.120599796943871,-0.03931464485344249,-0.003892682673790504,-0.0006678935129780635,-0.004417846363976988,-0.015635809670345835,12,1,-1.352507512040873,정상,-0.03607355316836314,0.06723882372013712,-0.003892682673790504,0.11753731934012013,0.1982555476661041
FMS,0.005313495102483579,0.09669197235095939,0.7402709844472924,0.03258482684260078,0.24408667573867918,-23.91710376635713,-0.019486577914394454,-0.00396550977832677,0.0017914483011145384,-0.0010920182235910217,-0.10407343694363147,20,2,-1.4244551197929007,정상,-0.015226386006770287,0.008689590570074346,-0.00396550977832677,0.16254856786785954,0.08744355998200537
TMSL,-0.0017546539615321821,0.07515406730597562,0.7874272390217979,0.0035429228913215205,0.16633966623638127,-7.995641267039866,-0.05089191009115002,-0.01666998148632237,-0.001305550795096921,-0.004758407597206995,-0.023326636136931977,11,1,-1.555311491926358,정상,-0.08837934709549211,-0.39627329622190444,-0.01666998148632237,0.12272431031040698,0.2374209594489427
SPYD,0.036846284439209454,0.09223986427746222,0.8153830105883484,0.02393495719568217,0.17784412092841115,-5.725774467004463,-0.020126705114850596,0.021586489748610438,-0.0004714526784501171,-0.002861104880640821,-0.015868415252472734,11,2,-1.571791104753516,정상,0.10962966693209086,-0.011447826655080595,0.021586489748610438,0.12785007298671247,0.20977586553810257
